multiplier,floor,profit_lockin,score,mean_sharpe,mean_sortino,mean_final_nav,worst_hour_final_nav,breach_events,days_below_floor
3.0,0.6,0.01,21,0.384,0.517,189.24,145.06,6,492
3.0,0.6,0.02,21,0.38,0.512,188.01,142.96,6,505
3.0,0.6,0.03,20,0.377,0.506,186.37,145.06,6,505
3.0,0.6,0.04,18,0.367,0.493,182.25,138.75,6,526
3.0,0.6,0.05,19,0.364,0.487,180.41,136.65,6,546
3.0,0.6,0.06,18,0.364,0.487,180.41,138.75,6,505
3.0,0.6,0.07,20,0.354,0.472,175.5,133.91,6,544
3.0,0.6,0.08,16,0.341,0.452,169.0,135.25,6,680
3.0,0.6,0.09,14,0.338,0.447,167.23,135.25,6,653
3.0,0.6,0.1,16,0.342,0.452,169.51,136.32,6,629
3.0,0.6,0.11,15,0.341,0.451,168.96,132.45,6,605
3.0,0.6,0.12,15,0.339,0.449,168.3,129.03,6,583
3.0,0.6,0.13,13,0.338,0.447,167.59,131.4,6,562
3.0,0.6,0.14,17,0.342,0.453,169.37,133.2,6,544
3.0,0.6,0.15,12,0.337,0.442,166.65,131.96,6,997
3.0,0.6,0.16,13,0.34,0.447,168.99,130.04,6,956
3.0,0.6,0.17,15,0.338,0.446,168.02,125.12,6,487
3.0,0.6,0.18,13,0.34,0.446,169.06,129.03,6,487
3.0,0.6,0.19,14,0.341,0.45,169.66,132.94,6,487
3.0,0.61,0.01,23,0.39,0.526,191.64,148.21,6,471
3.0,0.61,0.02,22,0.389,0.525,191.62,146.11,6,483
3.0,0.61,0.03,22,0.388,0.523,191.16,146.11,6,471
3.0,0.61,0.04,20,0.374,0.503,184.94,139.8,6,530
3.0,0.61,0.05,22,0.376,0.506,186.0,142.95,6,479
3.0,0.61,0.06,21,0.375,0.504,185.67,139.8,6,509
3.0,0.61,0.07,18,0.36,0.482,178.79,137.7,6,548
3.0,0.61,0.08,17,0.353,0.471,174.72,137.82,6,515
3.0,0.61,0.09,18,0.351,0.467,173.86,138.8,6,657
3.0,0.61,0.1,16,0.348,0.463,172.61,137.7,6,633
3.0,0.61,0.11,18,0.349,0.465,173.21,134.89,6,609
3.0,0.61,0.12,17,0.35,0.466,173.84,136.27,6,587
3.0,0.61,0.13,16,0.35,0.466,173.98,135.87,6,566
3.0,0.61,0.14,17,0.345,0.458,171.53,134.22,6,548
3.0,0.61,0.15,17,0.349,0.465,173.84,132.94,6,530
3.0,0.61,0.16,15,0.345,0.457,171.4,131.4,6,515
3.0,0.61,0.17,16,0.347,0.457,172.57,126.1,6,927
3.0,0.61,0.18,15,0.348,0.46,173.82,130.0,6,890
3.0,0.61,0.19,13,0.344,0.454,172.16,124.05,6,488
3.0,0.62,0.01,23,0.394,0.531,192.41,150.31,6,451
3.0,0.62,0.02,23,0.393,0.53,192.33,149.26,6,462
3.0,0.62,0.03,23,0.393,0.531,193.06,150.31,6,474
3.0,0.62,0.04,22,0.385,0.517,189.43,140.85,6,479
3.0,0.62,0.05,22,0.384,0.518,189.71,144.01,6,483
3.0,0.62,0.06,22,0.385,0.517,189.72,147.16,6,512
3.0,0.62,0.07,20,0.369,0.494,182.73,142.42,6,552
3.0,0.62,0.08,20,0.364,0.489,181.06,138.8,6,519
3.0,0.62,0.09,19,0.361,0.484,179.01,139.78,6,490
3.0,0.62,0.1,18,0.358,0.478,177.82,138.75,6,636
3.0,0.62,0.11,18,0.353,0.469,174.65,135.87,6,613
3.0,0.62,0.12,18,0.358,0.478,177.86,140.86,6,592
3.0,0.62,0.13,17,0.355,0.473,176.62,133.5,6,570
3.0,0.62,0.14,18,0.356,0.475,177.25,138.76,6,552
3.0,0.62,0.15,16,0.356,0.476,177.26,140.37,6,534
3.0,0.62,0.16,17,0.358,0.479,178.34,138.8,6,519
3.0,0.62,0.17,16,0.352,0.469,175.66,136.33,6,504
3.0,0.62,0.18,16,0.352,0.471,175.55,130.98,6,490
3.0,0.62,0.19,14,0.357,0.472,177.91,134.89,6,868
3.0,0.63,0.01,23,0.397,0.536,192.71,152.41,6,432
3.0,0.63,0.02,23,0.396,0.534,192.57,150.31,6,443
3.0,0.63,0.03,23,0.395,0.532,192.53,154.51,6,443
3.0,0.63,0.04,23,0.391,0.526,191.47,146.11,6,483
3.0,0.63,0.05,21,0.39,0.522,191.38,145.06,6,487
3.0,0.63,0.06,22,0.391,0.526,192.22,141.9,6,443
3.0,0.63,0.07,20,0.377,0.505,186.16,143.68,6,556
3.0,0.63,0.08,20,0.37,0.499,184.02,139.78,6,523
3.0,0.63,0.09,20,0.37,0.498,183.43,140.75,6,494
3.0,0.63,0.1,20,0.372,0.503,185.05,139.78,6,467
3.0,0.63,0.11,19,0.367,0.492,182.1,143.44,6,617
3.0,0.63,0.12,19,0.364,0.487,180.42,141.91,6,596
3.0,0.63,0.13,17,0.364,0.486,180.36,137.82,6,575
3.0,0.63,0.14,18,0.365,0.489,181.22,139.8,6,556
3.0,0.63,0.15,18,0.364,0.486,181.42,134.89,6,538
3.0,0.63,0.16,18,0.363,0.485,180.65,139.78,6,523
3.0,0.63,0.17,18,0.365,0.488,181.6,137.71,6,508
3.0,0.63,0.18,16,0.358,0.477,178.09,131.96,6,494
3.0,0.63,0.19,16,0.361,0.485,180.49,135.87,6,480
3.0,0.64,0.01,23,0.401,0.541,193.27,155.56,6,418
3.0,0.64,0.02,23,0.398,0.538,192.51,151.36,6,418
3.0,0.64,0.03,23,0.4,0.541,193.89,155.57,6,415
3.0,0.64,0.04,23,0.392,0.529,191.2,147.16,6,439
3.0,0.64,0.05,23,0.392,0.528,191.17,146.11,6,432
3.0,0.64,0.06,23,0.396,0.534,193.51,149.26,6,447
3.0,0.64,0.07,20,0.39,0.524,191.49,148.21,6,459
3.0,0.64,0.08,20,0.377,0.503,185.4,148.57,6,526
3.0,0.64,0.09,20,0.374,0.502,184.74,141.73,6,498
3.0,0.64,0.1,20,0.375,0.503,184.81,140.75,6,471
3.0,0.64,0.11,20,0.383,0.516,189.56,148.21,6,447
3.0,0.64,0.12,20,0.378,0.51,187.42,144.66,6,600
3.0,0.64,0.13,19,0.37,0.496,183.06,145.49,6,579
3.0,0.64,0.14,19,0.372,0.499,183.99,140.86,6,560
3.0,0.64,0.15,18,0.366,0.488,181.25,135.87,6,542
3.0,0.64,0.16,18,0.371,0.496,183.62,147.54,6,526
3.0,0.64,0.17,17,0.371,0.493,184.19,145.64,6,512
3.0,0.64,0.18,17,0.37,0.497,184.24,142.62,6,498
3.0,0.64,0.19,18,0.366,0.489,182.24,136.85,6,484
3.0,0.65,0.01,23,0.407,0.55,194.49,158.72,6,407
3.0,0.65,0.02,23,0.405,0.547,194.1,154.51,6,402
3.0,0.65,0.03,23,0.406,0.548,195.31,156.62,6,408
3.0,0.65,0.04,22,0.398,0.536,192.29,152.41,6,436
3.0,0.65,0.05,22,0.394,0.531,191.22,152.41,6,436
