hour,final_nav,final_xlm,final_safe,beats_safe,sharpe,sortino,nav_max_drawdown,xlm_max_drawdown,breach_events,days_below_floor
0,186.46,60.45,161.74,True,0.39,0.522,-0.3455,-0.9044,1,8
1,163.79,60.68,161.74,True,0.336,0.467,-0.3466,-0.9087,2,83
2,182.35,59.25,161.74,True,0.368,0.543,-0.3493,-0.916,1,15
3,205.49,59.75,161.74,True,0.421,0.592,-0.3385,-0.9066,1,1
4,207.01,60.66,161.74,True,0.413,0.584,-0.3401,-0.9013,0,0
5,193.13,60.14,161.74,True,0.39,0.542,-0.363,-0.9065,0,0
6,215.08,60.35,161.74,True,0.436,0.601,-0.3495,-0.905,0,0
7,204.09,59.81,161.74,True,0.404,0.593,-0.3359,-0.9054,0,0
8,216.17,59.66,161.74,True,0.439,0.585,-0.3393,-0.9089,0,0
9,213.63,59.04,161.74,True,0.447,0.617,-0.3419,-0.9068,0,0
10,235.58,58.98,161.74,True,0.482,0.672,-0.3443,-0.9095,0,0
11,212.88,59.14,161.74,True,0.445,0.584,-0.341,-0.9074,0,0
12,174.3,58.85,161.74,True,0.368,0.483,-0.3602,-0.9054,0,0
13,185.14,58.43,161.74,True,0.389,0.474,-0.3601,-0.9043,1,355
14,195.88,58.2,161.74,True,0.407,0.547,-0.3659,-0.9067,0,0
15,185.4,58.79,161.74,True,0.385,0.491,-0.3608,-0.9047,0,0
16,176.6,59.05,161.74,True,0.356,0.491,-0.3624,-0.9035,0,0
17,165.7,59.61,161.74,True,0.334,0.478,-0.3569,-0.9011,0,0
18,220.1,60.46,161.74,True,0.451,0.581,-0.3572,-0.902,0,0
19,193.98,60.05,161.74,True,0.405,0.518,-0.3635,-0.8999,0,0
20,205.6,59.79,161.74,True,0.436,0.552,-0.3622,-0.9015,0,0
21,229.66,60.34,161.74,True,0.467,0.66,-0.3603,-0.9008,0,0
22,206.02,59.85,161.74,True,0.43,0.555,-0.3566,-0.8988,0,0
23,219.22,59.45,161.74,True,0.471,0.614,-0.3508,-0.9,0,0
