hour,final_nav,final_xlm,final_safe,beats_safe,sharpe,sortino,nav_max_drawdown,xlm_max_drawdown,breach_events,days_below_floor
0,203.27,152.94,100.0,True,0.782,1.386,-0.2947,-0.744,0,0
1,199.29,153.95,100.0,True,0.765,1.363,-0.3089,-0.7425,0,0
2,204.31,152.72,100.0,True,0.758,1.402,-0.3106,-0.7467,0,0
3,220.64,153.66,100.0,True,0.828,1.471,-0.3174,-0.7599,0,0
4,224.46,154.48,100.0,True,0.841,1.5,-0.3207,-0.7624,0,0
5,226.53,153.11,100.0,True,0.899,1.584,-0.3139,-0.7577,0,0
6,221.22,154.92,100.0,True,0.873,1.517,-0.3101,-0.744,0,0
7,222.01,156.02,100.0,True,0.859,1.558,-0.3144,-0.7483,0,0
8,231.98,156.01,100.0,True,0.867,1.623,-0.3104,-0.76,0,0
9,213.9,157.3,100.0,True,0.793,1.422,-0.3084,-0.7518,0,0
10,226.79,156.65,100.0,True,0.871,1.495,-0.3186,-0.753,0,0
11,224.78,157.13,100.0,True,0.855,1.492,-0.3197,-0.7573,0,0
12,204.7,156.61,100.0,True,0.793,1.376,-0.3161,-0.7457,0,0
13,205.43,155.96,100.0,True,0.804,1.3,-0.3332,-0.7358,0,0
14,210.18,155.05,100.0,True,0.825,1.429,-0.317,-0.733,0,0
15,205.61,156.32,100.0,True,0.786,1.382,-0.3057,-0.7352,0,0
16,212.92,155.7,100.0,True,0.752,1.625,-0.2963,-0.7497,0,0
17,212.83,157.55,100.0,True,0.785,1.656,-0.2945,-0.7437,0,0
18,217.96,159.55,100.0,True,0.839,1.769,-0.2829,-0.7293,0,0
19,215.5,159.27,100.0,True,0.825,1.643,-0.2962,-0.7357,0,0
20,203.39,157.86,100.0,True,0.783,1.377,-0.2996,-0.7353,0,0
21,200.97,157.82,100.0,True,0.747,1.314,-0.3138,-0.7449,0,0
22,203.81,157.95,100.0,True,0.764,1.37,-0.2989,-0.7485,0,0
23,204.75,156.3,100.0,True,0.793,1.422,-0.2996,-0.7415,0,0
